2,0,1,1,0,1,0,4,1,0,1,0,0,0,2,1,0,0,1,1,0,2,0,0,2,5,0,0,0,0,1,0,0,0,8,1,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,3,0,1,1,1,0,0,1,2,0,3,0,0,0,0,3,2,3,1,3,3,0,1,1,0,0,0,4,1,0,2,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,0,0,4,0,2,5,8,3,4,3,0,2,0,3,5,0,0,4,1,0,4,1,1,4,4,0,2,1,0,1,2,0,0,8,3,2,3,2,6,3,0,1,0,2,0,1,0,0,0,0,3,2,0,2,2,2,0,0,0,0,2,3,3,3,2,1,0,0,0,0,1,1,0,3,4,2,0,1,1,0,0,1,4,3,0,0,3,1,1,3,4,1,1,2,1,3,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,2,1,0,2,0,0
2,0,0,1,0,4,0,1,1,0,4,0,2,1,0,4,0,0,5,1,3,3,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,3,1,2,0,0,0,0,3,2,4,0,0,0,1,2,2,0,0,0,2,1,0,0,1,0,0,5,7,0,0,0,1,0,0,1,0,0,0,1,9,0,0,2,0,0,0,2,3,0,1,2,0,0,1,1,1,3,4,0,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2,2,0
4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,2,5,2,3,1,0,4,1,1,0,3,1,0,0,1,1,0,4,0,0,0,2,0,1,0,0,0,0,0,0,5,1,1,3,2,0,0,0,0,0,3,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,1,2,1,1,1,6,0,0,3,0,0,0,1,2,0,0,3,1,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4,0,1,2,0,0,0,3,4,0,4,0,0,0,2,2,0,0,1,0,0,4,1,1,2,2,0,1,0,0,0,4,0,0,7,2,0,2,3,0,0,3,0,0,1,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,2,3,2,1,0,1,5,6,0,0,5,4,1,0,0,2,1,0,0,1,0,1,1,0,0,2,0,2,2,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,2,0,1,1,0,0,0,0,0
4,0,1,0,0,1,0,0,2,0,3,0,1,1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,4,0,3,6,2,2,0,2,1,3,1,0,6,0,0,0,0,1,1,1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,3,1,1,2,4,0,0,4,0,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0
4,0,0,0,0,2,0,4,1,0,0,1,0,0,1,2,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,5,0,3,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,1,2,0,3,1,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,0,0,0,1,3,0,2,1,0,1,0,0,0,3,1,0,0,2,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,5,1,0,7,6,0,0,1,0,0,3,2,4,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,3,2,2,2,1,3,1,4,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,1,0,1,0,3,3,0,0,0,2,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
4,0,1,0,0,0,1,2,0,0,7,2,1,1,1,3,1,0,5,4,0,2,0,0,0,2,0,1,0,0,0,4,0,0,10,1,4,3,5,0,1,1,2,0,2,0,5,1,0,0,0,0,3,0,2,0,0,0,0,0,1,0,1,2,1,3,2,0,0,2,0,1,2,1,0,3,3,0,0,8,0,0,0,2,1,1,0,2,0,0,1,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
4,0,2,0,1,2,3,3,3,0,3,0,3,1,4,0,0,0,1,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,6,13,2,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,2,5,1,2,2,0,0,3,6,0,0,4,0,0,0,0,1,3,0,2,0,0,1,0,0,3,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4,0,0,0,0,2,1,4,1,0,2,1,2,1,0,1,0,0,2,0,1,2,1,0,0,2,0,0,1,0,1,0,0,0,3,0,3,3,1,2,0,1,0,1,0,1,5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,2,0,0,0,2,5,0,0,4,0,0,4,6,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,2,4,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
4,0,5,0,0,1,0,3,1,0,2,0,1,0,2,1,0,0,1,1,0,3,0,1,0,2,0,1,0,0,0,0,0,0,7,0,2,11,2,1,0,1,1,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,2,0,0,4,0,0,5,1,1,4,6,0,0,9,0,0,0,0,4,0,0,4,0,1,1,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,2,1,0
4,0,0,1,0,2,0,7,3,0,4,2,0,0,1,4,4,0,2,0,0,2,0,0,3,6,0,0,0,0,1,3,0,0,7,2,3,4,2,8,0,0,1,0,1,0,4,7,0,1,5,4,1,0,0,1,1,0,0,0,0,3,0,0,0,3,1,0,0,2,0,1,3,3,2,3,13,0,2,2,1,0,1,0,4,0,3,3,2,1,1,0,0,1,1,0,2,1,0,0,0,0,3,0,0,0,1,0,0,0,1,2,0,0,1,0,1,0,0,1,0,0
4,0,1,1,1,4,0,1,2,0,3,0,1,0,1,2,0,0,1,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,8,0,2,6,2,1,0,1,2,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,3,0,0,4,1,1,2,5,0,0,3,1,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4,0,0,1,0,5,2,2,3,0,3,2,0,4,2,2,0,0,0,0,0,4,0,0,1,2,0,1,0,0,3,1,0,1,11,1,3,4,7,3,0,1,1,0,2,0,6,1,0,0,2,2,4,0,4,2,1,0,2,0,2,0,0,0,2,1,2,0,0,2,1,3,1,2,3,6,10,0,0,3,0,0,0,2,2,0,1,6,5,2,0,3,2,0,4,2,5,3,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,1,0,0,1,0,2,0,0,0
4,0,0,1,1,2,4,2,0,0,4,0,0,5,0,2,0,0,3,1,0,1,1,0,1,3,0,1,4,0,1,3,0,0,8,1,1,4,4,4,0,1,3,0,0,0,2,2,0,1,0,2,3,1,0,2,1,0,0,1,2,1,1,1,0,2,1,0,0,4,0,1,3,0,0,0,5,0,0,7,0,0,0,1,1,1,1,3,2,0,1,2,3,1,8,0,3,5,0,1,0,0,3,0,0,0,2,0,0,0,0,1,1,1,0,0,2,0,2,1,0,0
4,0,1,0,1,2,0,2,6,0,2,1,5,0,0,0,2,2,6,1,0,3,1,0,0,2,0,1,0,0,1,2,1,2,9,4,2,5,6,1,0,1,0,0,4,0,3,1,0,2,2,4,2,0,0,1,1,0,1,0,2,0,0,2,5,1,1,0,1,4,4,3,1,3,2,1,2,0,1,4,3,1,2,1,3,1,1,4,0,2,0,1,1,0,2,0,3,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,0,3,0,0,2,3,1,0,2,0,0,0,1,0,1,0,0,0,0,5,0,0,1,2,0,1,0,0,1,0,0,0,7,0,0,3,4,4,0,1,0,2,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,1,0,0,1,0,1,2,6,0,0,3,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
4,0,1,1,0,2,2,1,0,0,2,0,0,4,3,4,3,0,2,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,7,2,2,2,5,1,0,0,1,1,4,0,2,3,0,1,1,1,0,0,0,0,2,0,0,0,2,1,0,0,2,0,0,0,3,3,0,5,3,1,1,2,7,0,0,1,0,0,0,0,3,0,0,1,6,0,1,0,2,0,3,1,2,1,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,0,0,0,4,0,4,0,0,1,1,0,0,3,1,0,0,5,0,0,4,0,1,0,2,0,1,3,0,0,0,0,0,4,0,1,5,5,2,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,1,2,0,0,2,0,1,5,2,0,0,5,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0
4,0,2,2,0,3,6,1,1,0,7,0,2,1,0,1,0,0,2,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,6,0,0,2,7,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,3,1,0,0,4,5,0,1,1,0,0,7,8,0,0,3,2,0,0,2,1,1,0,6,0,0,0,2,0,0,4,0,2,2,0,0,0,1,0,0,0,0,5,4,0,0,0,0,3,1,0,0,1,0,0,0,0,0
4,0,0,2,0,1,0,1,0,0,1,0,2,1,3,7,1,0,4,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,6,0,2,2,2,0,0,0,1,0,1,2,6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,2,2,0,2,0,1,1,1,5,0,1,3,0,0,0,3,3,1,0,2,1,0,2,0,1,1,0,0,1,0,2,0,0,0,1,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6,1,0,0,4,0,0,9,0,0,4,0,1,6,3,1,1,0,4,0,0,1,1,1,6,2,0,0,0,1,0,0,1,0,11,2,1,6,4,2,0,0,3,1,4,0,0,2,0,1,1,2,0,0,1,1,0,0,0,0,1,0,1,1,3,8,0,0,3,5,1,2,4,6,3,4,1,0,0,1,0,0,0,0,1,0,2,3,1,0,0,0,3,0,2,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0
6,0,0,0,6,2,0,4,1,0,5,0,2,0,2,1,1,2,1,0,0,2,0,1,0,2,0,1,0,1,0,0,2,0,14,0,0,9,5,1,1,0,1,0,2,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,6,2,0,3,3,0,5,8,2,0,4,3,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0
6,3,2,0,0,5,0,5,2,0,4,1,0,0,1,3,0,0,3,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,9,0,2,13,3,3,0,0,0,0,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,1,7,4,1,2,3,0,3,3,0,1,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2,0,1,2,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
6,0,1,2,2,2,1,9,7,0,2,0,0,1,3,4,1,0,3,0,3,3,0,0,0,2,0,2,2,2,0,1,1,1,7,0,1,5,1,2,1,2,1,0,4,0,1,2,1,0,2,2,3,0,0,3,0,0,0,1,0,0,3,0,1,6,1,0,3,3,0,6,1,1,1,5,3,1,0,0,0,1,0,1,3,0,0,4,0,0,0,11,0,1,3,1,1,1,1,1,0,4,1,0,0,1,3,3,0,1,0,0,1,0,0,0,2,0,0,0,1,0
6,0,0,0,2,5,1,8,2,1,3,1,0,0,5,5,2,0,2,1,4,0,2,0,0,2,0,0,0,0,0,0,1,0,13,4,0,10,4,1,0,1,1,1,2,5,1,4,0,1,0,0,0,0,3,3,0,0,0,0,0,1,0,1,1,3,0,0,1,7,0,3,2,2,0,5,5,0,1,4,4,4,3,3,6,0,0,0,0,0,1,3,1,2,0,0,3,3,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,2,1,0
6,1,0,2,2,2,1,3,4,0,4,1,0,1,2,3,0,0,2,0,0,1,0,0,0,2,0,2,0,0,0,0,3,0,4,1,1,7,2,3,0,0,1,0,5,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,7,1,0,3,2,0,2,7,1,0,3,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
6,1,0,0,1,2,0,2,1,0,1,0,1,1,1,5,0,0,2,1,1,1,2,0,0,2,2,2,2,2,1,1,1,0,12,1,1,7,5,2,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,4,3,3,0,0,2,5,0,1,0,1,3,4,9,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,4,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,0,0
6,1,2,1,1,5,1,4,4,0,6,7,1,1,2,8,1,1,5,4,0,3,0,2,0,1,0,2,0,0,0,2,2,1,10,3,2,7,9,4,0,3,2,0,8,2,2,5,3,2,0,1,2,1,3,0,0,0,0,0,2,1,1,2,3,7,1,1,4,6,1,2,8,2,1,5,4,0,2,4,2,0,0,0,2,1,1,3,1,1,1,0,1,1,3,2,2,5,2,0,0,1,0,0,0,0,2,2,0,0,2,0,0,2,0,0,7,0,1,2,0,0
6,1,0,1,0,1,0,2,1,0,4,1,1,2,1,4,0,0,4,0,0,0,3,4,0,1,0,1,0,3,0,1,0,0,6,1,1,6,2,2,0,0,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,2,1,1,0,1,4,0,3,4,1,0,4,3,0,0,1,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,2,3,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0
6,1,1,0,0,4,0,1,1,0,6,0,0,0,0,2,1,0,3,0,0,3,0,1,0,2,1,0,0,0,0,0,5,0,11,1,7,7,5,1,0,0,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,2,2,4,3,0,1,4,0,0,5,3,0,3,3,0,0,2,1,1,1,2,0,0,0,1,0,0,0,0,2,0,1,0,3,1,1,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0
6,1,0,0,2,2,1,3,2,0,2,1,0,1,0,1,1,0,7,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,9,1,1,7,6,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,4,2,0,1,6,0,1,6,1,0,4,3,0,0,4,0,1,0,1,1,0,0,2,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
6,0,3,0,2,3,1,9,2,1,3,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,9,0,1,9,2,0,0,0,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,3,1,10,0,0,2,6,0,1,7,2,2,5,0,0,0,1,0,1,0,0,1,1,0,2,1,0,2,2,3,0,1,0,3,5,1,0,1,2,0,0,0,0,3,2,0,1,0,0,0,1,0,0,3,0,0,2,1,0
6,1,3,0,3,2,0,2,1,0,7,0,2,2,0,4,1,0,3,0,0,1,2,1,0,1,1,1,1,2,0,0,0,0,4,0,1,7,3,1,0,0,1,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,2,1,9,2,0,1,6,0,1,3,1,0,3,5,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,2,0,5,3,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
6,1,0,0,3,3,0,2,7,0,2,0,0,0,0,5,0,0,3,2,0,2,2,1,0,1,1,1,0,1,0,1,1,1,10,0,0,8,7,0,0,1,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,4,5,1,0,1,5,1,7,5,2,0,3,2,0,0,2,0,0,1,0,1,1,0,1,0,0,0,2,4,1,0,0,2,2,0,0,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
6,0,1,3,3,1,0,2,2,0,2,1,2,1,3,1,0,0,2,0,0,2,1,1,3,0,0,1,0,0,0,2,4,0,12,1,6,6,6,7,0,1,2,1,1,0,3,2,0,1,0,0,1,0,4,1,0,0,1,0,2,1,0,2,1,8,1,0,4,7,0,5,5,3,2,6,2,0,1,3,0,0,2,0,3,0,0,3,5,0,1,3,0,0,3,0,3,5,1,0,0,1,0,1,2,0,1,2,0,0,2,1,0,0,0,1,2,0,0,2,1,0
6,3,1,2,4,7,0,3,5,0,3,0,0,2,1,2,1,0,3,1,0,2,0,0,0,2,2,1,0,1,1,0,1,0,13,1,3,9,8,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,3,2,6,5,0,1,8,0,0,6,0,0,3,3,0,0,2,0,1,0,1,5,0,0,3,0,0,1,0,1,0,0,1,5,3,2,0,0,2,0,0,0,1,1,2,0,0,0,1,1,0,0,0,2,0,3,1,1,0
6,1,1,1,5,1,0,3,2,0,2,2,0,2,1,2,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,10,1,2,9,4,0,0,0,1,0,2,1,1,0,0,0,0,1,2,0,0,1,0,0,4,0,1,1,0,2,1,9,3,0,3,3,0,3,4,1,0,5,1,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,3,4,0,2,0,1,0,0,0,0,2,0,0,1,0,0
